train_id,scheduled_departure,priority,optimized_departure,delay_min
T001,06:00,1,06:00,0
T002,06:10,1,06:10,0
T003,06:16,1,06:16,0
T004,06:31,3,06:31,0
T005,06:44,1,06:44,0
T006,06:57,2,06:57,0
T007,07:04,2,07:04,0
T008,07:10,2,07:10,0
T009,07:19,2,07:19,0
T010,07:32,2,07:32,0
T011,07:41,1,07:41,0
T012,07:53,2,07:53,0
T013,07:58,3,07:58,0
T014,08:11,2,08:11,0
T015,08:19,2,08:19,0
T016,08:24,2,08:24,0
T017,08:35,3,08:35,0
T018,08:46,3,08:46,0
T019,08:55,3,08:55,0
T020,09:08,1,09:08,0
T021,09:18,1,09:18,0
T022,09:29,2,09:29,0
T023,09:36,3,09:36,0
T024,09:47,3,09:47,0
T025,09:55,1,09:55,0
T026,10:04,3,10:04,0
T027,10:13,3,10:13,0
T028,10:24,2,10:24,0
T029,10:31,2,10:31,0
T030,10:38,2,10:38,0
T031,10:46,2,10:46,0
T032,11:01,3,11:01,0
T033,11:16,3,11:16,0
T034,11:21,2,11:21,0
T035,11:26,2,11:26,0
T036,11:38,3,11:38,0
T037,11:48,3,11:48,0
T038,11:58,3,11:58,0
T039,12:05,3,12:05,0
T040,12:18,2,12:18,0
T041,12:28,2,12:28,0
T042,12:40,2,12:40,0
T043,12:55,2,12:55,0
T044,13:09,1,13:09,0
T045,13:15,2,13:15,0
T046,13:27,3,13:27,0
T047,13:39,3,13:39,0
T048,13:44,2,13:44,0
T049,13:56,1,13:56,0
T050,14:07,2,14:07,0
T051,14:21,3,14:21,0
T052,14:32,2,14:32,0
T053,14:44,2,14:44,0
T054,14:52,3,14:52,0
T055,15:02,2,15:02,0
T056,15:17,2,15:17,0
T057,15:29,3,15:29,0
T058,15:39,3,15:39,0
T059,15:50,1,15:50,0
T060,16:01,3,16:01,0
T061,16:11,2,16:11,0
T062,16:17,1,16:17,0
T063,16:24,3,16:24,0
T064,16:36,2,16:36,0
T065,16:44,2,16:44,0
T066,16:58,3,16:58,0
T067,17:03,2,17:03,0
T068,17:08,2,17:08,0
T069,17:14,2,17:14,0
T070,17:25,3,17:25,0
T071,17:33,2,17:33,0
T072,17:44,1,17:44,0
T073,17:56,2,17:56,0
T074,18:01,3,18:01,0
T075,18:08,2,18:08,0
T076,18:17,1,18:17,0
T077,18:28,3,18:28,0
T078,18:34,2,18:34,0
T079,18:48,3,18:48,0
T080,18:54,2,18:54,0
T081,19:08,2,19:08,0
T082,19:19,3,19:19,0
T083,19:28,2,19:28,0
T084,19:35,2,19:35,0
T085,19:47,1,19:47,0
T086,20:01,3,20:01,0
T087,20:10,2,20:10,0
T088,20:24,2,20:24,0
T089,20:31,3,20:31,0
T090,20:37,2,20:37,0
T091,20:43,3,20:43,0
T092,20:52,3,20:52,0
T093,20:58,2,20:58,0
T094,21:07,2,21:07,0
T095,21:21,1,21:21,0
T096,21:32,1,21:32,0
T097,21:37,1,21:37,0
T098,21:42,3,21:42,0
T099,21:57,2,21:57,0
T100,22:10,3,22:10,0
