id,type,status,location,maintenance_due,capacity,length_km,condition
I001,bridge,out_of_service,"{""lat"": 40.0461, ""lng"": -73.7723}",,,,fair
I002,platform,maintenance,"{""lat"": 40.2109, ""lng"": -74.0923}",2025-09-12T00:28:22.840910,8,,good
I003,signal,out_of_service,"{""lat"": 40.7889, ""lng"": -73.6034}",,,,poor
I004,tunnel,out_of_service,"{""lat"": 41.0063, ""lng"": -74.3477}",,,,excellent
I005,switch,operational,"{""lat"": 40.7542, ""lng"": -74.4399}",,,,excellent
I006,tunnel,operational,"{""lat"": 40.3889, ""lng"": -73.8273}",2025-09-12T00:28:22.840993,,,poor
I007,bridge,operational,"{""lat"": 40.2767, ""lng"": -74.0081}",,,,poor
I008,signal,maintenance,"{""lat"": 40.4014, ""lng"": -73.9402}",2025-09-20T00:28:22.841029,,,good
I009,tunnel,operational,"{""lat"": 40.2483, ""lng"": -73.9071}",,,,good
I010,signal,maintenance,"{""lat"": 40.9896, ""lng"": -74.349}",2025-10-06T00:28:22.841062,,,fair
I011,crossing,maintenance,"{""lat"": 40.3896, ""lng"": -73.9214}",2025-10-06T00:28:22.841081,,,fair
I012,crossing,operational,"{""lat"": 40.2576, ""lng"": -73.8993}",,,,excellent
I013,switch,maintenance,"{""lat"": 40.391, ""lng"": -73.9402}",2025-10-08T00:28:22.841117,,,good
I014,crossing,operational,"{""lat"": 40.5584, ""lng"": -73.8216}",,,,poor
I015,bridge,operational,"{""lat"": 40.3975, ""lng"": -73.9326}",,,,good
I016,bridge,operational,"{""lat"": 40.2198, ""lng"": -74.1025}",,,,poor
I017,platform,maintenance,"{""lat"": 40.0334, ""lng"": -73.7731}",2025-09-19T00:28:22.841171,8,,good
I018,track,out_of_service,"{""lat"": 41.0044, ""lng"": -74.3423}",,4,26.12,fair
I019,tunnel,operational,"{""lat"": 40.3959, ""lng"": -73.9305}",,,,excellent
I020,tunnel,operational,"{""lat"": 40.1285, ""lng"": -73.7486}",,,,fair
